dataset,size,algorithm,milliseconds
random,95500,merge_insertion_t15,10.3835
random,95600,merge_sort,11.8803
random,95600,merge_insertion_t15,11.6172
random,95700,merge_sort,12.3136
random,95700,merge_insertion_t15,11.296
random,95800,merge_sort,13.1863
random,95800,merge_insertion_t15,11.8123
random,95900,merge_sort,12.3276
random,95900,merge_insertion_t15,10.5723
random,96000,merge_sort,11.7612
random,96000,merge_insertion_t15,10.6171
random,96100,merge_sort,11.7803
random,96100,merge_insertion_t15,10.7041
random,96200,merge_sort,13.0214
random,96200,merge_insertion_t15,11.4767
random,96300,merge_sort,11.7976
random,96300,merge_insertion_t15,10.6632
random,96400,merge_sort,11.7911
random,96400,merge_insertion_t15,11.0243
random,96500,merge_sort,11.9367
random,96500,merge_insertion_t15,10.7662
random,96600,merge_sort,12.1852
random,96600,merge_insertion_t15,10.8681
random,96700,merge_sort,12.3612
random,96700,merge_insertion_t15,10.8299
random,96800,merge_sort,12.3955
random,96800,merge_insertion_t15,11.029
random,96900,merge_sort,11.886
random,96900,merge_insertion_t15,10.7609
random,97000,merge_sort,12.0013
random,97000,merge_insertion_t15,10.7223
random,97100,merge_sort,12.1197
random,97100,merge_insertion_t15,11.0026
random,97200,merge_sort,12.0995
random,97200,merge_insertion_t15,10.9588
random,97300,merge_sort,12.5005
random,97300,merge_insertion_t15,11.8741
random,97400,merge_sort,12.1402
random,97400,merge_insertion_t15,11.7734
random,97500,merge_sort,12.5573
random,97500,merge_insertion_t15,10.928
random,97600,merge_sort,12.3104
random,97600,merge_insertion_t15,11.0938
random,97700,merge_sort,12.1792
random,97700,merge_insertion_t15,10.9785
random,97800,merge_sort,12.2864
random,97800,merge_insertion_t15,10.9171
random,97900,merge_sort,12.1811
random,97900,merge_insertion_t15,10.9077
random,98000,merge_sort,12.1599
random,98000,merge_insertion_t15,10.7556
random,98100,merge_sort,12.3297
random,98100,merge_insertion_t15,11.0031
random,98200,merge_sort,11.9845
random,98200,merge_insertion_t15,10.9078
random,98300,merge_sort,12.4026
random,98300,merge_insertion_t15,10.8752
random,98400,merge_sort,12.2533
random,98400,merge_insertion_t15,11.399
random,98500,merge_sort,11.9939
random,98500,merge_insertion_t15,11.0741
random,98600,merge_sort,14.5794
random,98600,merge_insertion_t15,11.2303
random,98700,merge_sort,13.4335
random,98700,merge_insertion_t15,11.1003
random,98800,merge_sort,12.3688
random,98800,merge_insertion_t15,11.1568
random,98900,merge_sort,12.0846
random,98900,merge_insertion_t15,10.9175
random,99000,merge_sort,12.3885
random,99000,merge_insertion_t15,11.9984
random,99100,merge_sort,12.4106
random,99100,merge_insertion_t15,11.6334
random,99200,merge_sort,12.8964
random,99200,merge_insertion_t15,11.4241
random,99300,merge_sort,12.545
random,99300,merge_insertion_t15,11.1259
random,99400,merge_sort,12.348
random,99400,merge_insertion_t15,11.1332
random,99500,merge_sort,13.6349
random,99500,merge_insertion_t15,11.7193
random,99600,merge_sort,12.8199
random,99600,merge_insertion_t15,11.4159
random,99700,merge_sort,12.6063
random,99700,merge_insertion_t15,11.266
random,99800,merge_sort,12.4814
random,99800,merge_insertion_t15,11.2392
random,99900,merge_sort,12.722
random,99900,merge_insertion_t15,11.2246
random,100000,merge_sort,12.6811
random,100000,merge_insertion_t15,11.2367
sorted,500,merge_sort,0.011683
sorted,500,merge_insertion_t15,0.005362
sorted,600,merge_sort,0.01162
sorted,600,merge_insertion_t15,0.006027
sorted,700,merge_sort,0.013126
sorted,700,merge_insertion_t15,0.006822
sorted,800,merge_sort,0.015425
sorted,800,merge_insertion_t15,0.007114
sorted,900,merge_sort,0.017304
sorted,900,merge_insertion_t15,0.008113
sorted,1000,merge_sort,0.019564
sorted,1000,merge_insertion_t15,0.009396
sorted,1100,merge_sort,0.022112
sorted,1100,merge_insertion_t15,0.011319
sorted,1200,merge_sort,0.023006
sorted,1200,merge_insertion_t15,0.011893
sorted,1300,merge_sort,0.024958
sorted,1300,merge_insertion_t15,0.013198
sorted,1400,merge_sort,0.026137
sorted,1400,merge_insertion_t15,0.013732
sorted,1500,merge_sort,0.029636
sorted,1500,merge_insertion_t15,0.015127
sorted,1600,merge_sort,0.031429
sorted,1600,merge_insertion_t15,0.015509
sorted,1700,merge_sort,0.034727
sorted,1700,merge_insertion_t15,0.016629
sorted,1800,merge_sort,0.035053
sorted,1800,merge_insertion_t15,0.017368
sorted,1900,merge_sort,0.038085
sorted,1900,merge_insertion_t15,0.018367
sorted,2000,merge_sort,0.041159
sorted,2000,merge_insertion_t15,0.020927
sorted,2100,merge_sort,0.055105
sorted,2100,merge_insertion_t15,0.024139
sorted,2200,merge_sort,0.056457
sorted,2200,merge_insertion_t15,0.024663
sorted,2300,merge_sort,0.046683
sorted,2300,merge_insertion_t15,0.026664
sorted,2400,merge_sort,0.047754
sorted,2400,merge_insertion_t15,0.026816
sorted,2500,merge_sort,0.049648
sorted,2500,merge_insertion_t15,0.027167
sorted,2600,merge_sort,0.051636
sorted,2600,merge_insertion_t15,0.028296
sorted,2700,merge_sort,0.053773
sorted,2700,merge_insertion_t15,0.029225
sorted,2800,merge_sort,0.054826
sorted,2800,merge_insertion_t15,0.029896
sorted,2900,merge_sort,0.057381
sorted,2900,merge_insertion_t15,0.031093
sorted,3000,merge_sort,0.05909
sorted,3000,merge_insertion_t15,0.032088
sorted,3100,merge_sort,0.079542
sorted,3100,merge_insertion_t15,0.045351
sorted,3200,merge_sort,0.086459
sorted,3200,merge_insertion_t15,0.054808
sorted,3300,merge_sort,0.080355
sorted,3300,merge_insertion_t15,0.035671
sorted,3400,merge_sort,0.069358
sorted,3400,merge_insertion_t15,0.036537
sorted,3500,merge_sort,0.071568
sorted,3500,merge_insertion_t15,0.038438
sorted,3600,merge_sort,0.073296
sorted,3600,merge_insertion_t15,0.038581
sorted,3700,merge_sort,0.076199
sorted,3700,merge_insertion_t15,0.040756
sorted,3800,merge_sort,0.079171
sorted,3800,merge_insertion_t15,0.040336
sorted,3900,merge_sort,0.082107
sorted,3900,merge_insertion_t15,0.054261
sorted,4000,merge_sort,0.095784
sorted,4000,merge_insertion_t15,0.047116
sorted,4100,merge_sort,0.09876
sorted,4100,merge_insertion_t15,0.065269
sorted,4200,merge_sort,0.088322
sorted,4200,merge_insertion_t15,0.052601
sorted,4300,merge_sort,0.090515
sorted,4300,merge_insertion_t15,0.053381
sorted,4400,merge_sort,0.092232
sorted,4400,merge_insertion_t15,0.054456
sorted,4500,merge_sort,0.09452
sorted,4500,merge_insertion_t15,0.054678
sorted,4600,merge_sort,0.095252
sorted,4600,merge_insertion_t15,0.072571
sorted,4700,merge_sort,0.133906
sorted,4700,merge_insertion_t15,0.056891
sorted,4800,merge_sort,0.124395
sorted,4800,merge_insertion_t15,0.057634
sorted,4900,merge_sort,0.10245
sorted,4900,merge_insertion_t15,0.059002
sorted,5000,merge_sort,0.103875
sorted,5000,merge_insertion_t15,0.059001
sorted,5100,merge_sort,0.120643
sorted,5100,merge_insertion_t15,0.061344
sorted,5200,merge_sort,0.139867
sorted,5200,merge_insertion_t15,0.114985
sorted,5300,merge_sort,0.135127
sorted,5300,merge_insertion_t15,0.113398
sorted,5400,merge_sort,0.124309
sorted,5400,merge_insertion_t15,0.085647
sorted,5500,merge_sort,0.156182
sorted,5500,merge_insertion_t15,0.065667
sorted,5600,merge_sort,0.142754
sorted,5600,merge_insertion_t15,0.093158
sorted,5700,merge_sort,0.169339
sorted,5700,merge_insertion_t15,0.082136
sorted,5800,merge_sort,0.195167
sorted,5800,merge_insertion_t15,0.087082
sorted,5900,merge_sort,0.146575
sorted,5900,merge_insertion_t15,0.09904
sorted,6000,merge_sort,0.160018
sorted,6000,merge_insertion_t15,0.115268
sorted,6100,merge_sort,0.181632
sorted,6100,merge_insertion_t15,0.097944
sorted,6200,merge_sort,0.184941
sorted,6200,merge_insertion_t15,0.075056
sorted,6300,merge_sort,0.133311
sorted,6300,merge_insertion_t15,0.076279
sorted,6400,merge_sort,0.155248
sorted,6400,merge_insertion_t15,0.089376
sorted,6500,merge_sort,0.151902
sorted,6500,merge_insertion_t15,0.078491
sorted,6600,merge_sort,0.154889
sorted,6600,merge_insertion_t15,0.089043
sorted,6700,merge_sort,0.142987
sorted,6700,merge_insertion_t15,0.078253
sorted,6800,merge_sort,0.146789
sorted,6800,merge_insertion_t15,0.09225
sorted,6900,merge_sort,0.158165
sorted,6900,merge_insertion_t15,0.093443
sorted,7000,merge_sort,0.150487
sorted,7000,merge_insertion_t15,0.103722
sorted,7100,merge_sort,0.171595
sorted,7100,merge_insertion_t15,0.082803
sorted,7200,merge_sort,0.154248
sorted,7200,merge_insertion_t15,0.084052
sorted,7300,merge_sort,0.157895
sorted,7300,merge_insertion_t15,0.084484
sorted,7400,merge_sort,0.170269
sorted,7400,merge_insertion_t15,0.112143
sorted,7500,merge_sort,0.17309
sorted,7500,merge_insertion_t15,0.089986
sorted,7600,merge_sort,0.165054
sorted,7600,merge_insertion_t15,0.090856
sorted,7700,merge_sort,0.167008
sorted,7700,merge_insertion_t15,0.090899
sorted,7800,merge_sort,0.187671
sorted,7800,merge_insertion_t15,0.115177
sorted,7900,merge_sort,0.178581
sorted,7900,merge_insertion_t15,0.126517
sorted,8000,merge_sort,0.175982
sorted,8000,merge_insertion_t15,0.101175
sorted,8100,merge_sort,0.178352
sorted,8100,merge_insertion_t15,0.118874
sorted,8200,merge_sort,0.204767
sorted,8200,merge_insertion_t15,0.109141
sorted,8300,merge_sort,0.193846
sorted,8300,merge_insertion_t15,0.109422
sorted,8400,merge_sort,0.184718
sorted,8400,merge_insertion_t15,0.112272
sorted,8500,merge_sort,0.202924
sorted,8500,merge_insertion_t15,0.141146
sorted,8600,merge_sort,0.189048
sorted,8600,merge_insertion_t15,0.113742
sorted,8700,merge_sort,0.189555
sorted,8700,merge_insertion_t15,0.112439
sorted,8800,merge_sort,0.206025
sorted,8800,merge_insertion_t15,0.134723
sorted,8900,merge_sort,0.2116
sorted,8900,merge_insertion_t15,0.117828
sorted,9000,merge_sort,0.197162
sorted,9000,merge_insertion_t15,0.118728
sorted,9100,merge_sort,0.2001
sorted,9100,merge_insertion_t15,0.130478
sorted,9200,merge_sort,0.275912
sorted,9200,merge_insertion_t15,0.121637
sorted,9300,merge_sort,0.203018
sorted,9300,merge_insertion_t15,0.12115
sorted,9400,merge_sort,0.205872
sorted,9400,merge_insertion_t15,0.148121
sorted,9500,merge_sort,0.228407
sorted,9500,merge_insertion_t15,0.125262
sorted,9600,merge_sort,0.210562
sorted,9600,merge_insertion_t15,0.12585
sorted,9700,merge_sort,0.212036
sorted,9700,merge_insertion_t15,0.137559
sorted,9800,merge_sort,0.236046
sorted,9800,merge_insertion_t15,0.128287
sorted,9900,merge_sort,0.217051
sorted,9900,merge_insertion_t15,0.12889
sorted,10000,merge_sort,0.235484
sorted,10000,merge_insertion_t15,0.129882
sorted,10100,merge_sort,0.243859
sorted,10100,merge_insertion_t15,0.130383
sorted,10200,merge_sort,0.237351
sorted,10200,merge_insertion_t15,0.132543
sorted,10300,merge_sort,0.264044
sorted,10300,merge_insertion_t15,0.14915
sorted,10400,merge_sort,0.241892
sorted,10400,merge_insertion_t15,0.13501
sorted,10500,merge_sort,0.229499
sorted,10500,merge_insertion_t15,0.151333
sorted,10600,merge_sort,0.258429
sorted,10600,merge_insertion_t15,0.149801
sorted,10700,merge_sort,0.233279
sorted,10700,merge_insertion_t15,0.137594
sorted,10800,merge_sort,0.234694
sorted,10800,merge_insertion_t15,0.138857
sorted,10900,merge_sort,0.27395
sorted,10900,merge_insertion_t15,0.142767
sorted,11000,merge_sort,0.237296
sorted,11000,merge_insertion_t15,0.143243
sorted,11100,merge_sort,0.241597
sorted,11100,merge_insertion_t15,0.171133
sorted,11200,merge_sort,0.256275
sorted,11200,merge_insertion_t15,0.165784
sorted,11300,merge_sort,0.244936
sorted,11300,merge_insertion_t15,0.148249
sorted,11400,merge_sort,0.275794
sorted,11400,merge_insertion_t15,0.163206
sorted,11500,merge_sort,0.259885
sorted,11500,merge_insertion_t15,0.226335
sorted,11600,merge_sort,0.278754
sorted,11600,merge_insertion_t15,0.19914
sorted,11700,merge_sort,0.25458
sorted,11700,merge_insertion_t15,0.149998
sorted,11800,merge_sort,0.255178
sorted,11800,merge_insertion_t15,0.164211
sorted,11900,merge_sort,0.288001
sorted,11900,merge_insertion_t15,0.152458
sorted,12000,merge_sort,0.260801
sorted,12000,merge_insertion_t15,0.154725
sorted,12100,merge_sort,0.289646
sorted,12100,merge_insertion_t15,0.204001
sorted,12200,merge_sort,0.269851
sorted,12200,merge_insertion_t15,0.1565
sorted,12300,merge_sort,0.288009
sorted,12300,merge_insertion_t15,0.181837
sorted,12400,merge_sort,0.291551
sorted,12400,merge_insertion_t15,0.158826
sorted,12500,merge_sort,0.277888
sorted,12500,merge_insertion_t15,0.213025
sorted,12600,merge_sort,0.291469
sorted,12600,merge_insertion_t15,0.163916
sorted,12700,merge_sort,0.28111
sorted,12700,merge_insertion_t15,0.166005
sorted,12800,merge_sort,0.307692
sorted,12800,merge_insertion_t15,0.161704
sorted,12900,merge_sort,0.284342
sorted,12900,merge_insertion_t15,0.163397
sorted,13000,merge_sort,0.374707
sorted,13000,merge_insertion_t15,0.169532
sorted,13100,merge_sort,0.290738
sorted,13100,merge_insertion_t15,0.19241
sorted,13200,merge_sort,0.320329
sorted,13200,merge_insertion_t15,0.197228
sorted,13300,merge_sort,0.295046
sorted,13300,merge_insertion_t15,0.168646
sorted,13400,merge_sort,0.314705
sorted,13400,merge_insertion_t15,0.188796
sorted,13500,merge_sort,0.305451
sorted,13500,merge_insertion_t15,0.191135
sorted,13600,merge_sort,0.306501
sorted,13600,merge_insertion_t15,0.174394
sorted,13700,merge_sort,0.321182
sorted,13700,merge_insertion_t15,0.174749
sorted,13800,merge_sort,0.343769
sorted,13800,merge_insertion_t15,0.179036
sorted,13900,merge_sort,0.323871
sorted,13900,merge_insertion_t15,0.176447
sorted,14000,merge_sort,0.372672
sorted,14000,merge_insertion_t15,0.183763
sorted,14100,merge_sort,0.327728
sorted,14100,merge_insertion_t15,0.194777
sorted,14200,merge_sort,0.346886
sorted,14200,merge_insertion_t15,0.178728
sorted,14300,merge_sort,0.33308
sorted,14300,merge_insertion_t15,0.181606
sorted,14400,merge_sort,0.334219
sorted,14400,merge_insertion_t15,0.185915
sorted,14500,merge_sort,0.381327
sorted,14500,merge_insertion_t15,0.188804
sorted,14600,merge_sort,0.352111
sorted,14600,merge_insertion_t15,0.206168
sorted,14700,merge_sort,0.345862
sorted,14700,merge_insertion_t15,0.205104
sorted,14800,merge_sort,0.335734
sorted,14800,merge_insertion_t15,0.188432
sorted,14900,merge_sort,0.337365
sorted,14900,merge_insertion_t15,0.20273
sorted,15000,merge_sort,0.34207
sorted,15000,merge_insertion_t15,0.189874
sorted,15100,merge_sort,0.373489
sorted,15100,merge_insertion_t15,0.191103
sorted,15200,merge_sort,0.347935
sorted,15200,merge_insertion_t15,0.191727
sorted,15300,merge_sort,0.378307
sorted,15300,merge_insertion_t15,0.19848
sorted,15400,merge_sort,0.36476
sorted,15400,merge_insertion_t15,0.216074
sorted,15500,merge_sort,0.373956
sorted,15500,merge_insertion_t15,0.203041
sorted,15600,merge_sort,0.477553
sorted,15600,merge_insertion_t15,0.216362
sorted,15700,merge_sort,0.388459
sorted,15700,merge_insertion_t15,0.219571
sorted,15800,merge_sort,0.39894
sorted,15800,merge_insertion_t15,0.264853
sorted,15900,merge_sort,0.447477
sorted,15900,merge_insertion_t15,0.281614
sorted,16000,merge_sort,0.495266
sorted,16000,merge_insertion_t15,0.2823
sorted,16100,merge_sort,0.474635
sorted,16100,merge_insertion_t15,0.304251
sorted,16200,merge_sort,0.496256
sorted,16200,merge_insertion_t15,0.288067
sorted,16300,merge_sort,0.520505
sorted,16300,merge_insertion_t15,0.352392
sorted,16400,merge_sort,0.463881
sorted,16400,merge_insertion_t15,0.318717
sorted,16500,merge_sort,0.497695
sorted,16500,merge_insertion_t15,0.308198
sorted,16600,merge_sort,0.528029
sorted,16600,merge_insertion_t15,0.237106
sorted,16700,merge_sort,0.390076
sorted,16700,merge_insertion_t15,0.27032
sorted,16800,merge_sort,0.399273
sorted,16800,merge_insertion_t15,0.241951
sorted,16900,merge_sort,0.44607
sorted,16900,merge_insertion_t15,0.254356
sorted,17000,merge_sort,0.391594
sorted,17000,merge_insertion_t15,0.279875
sorted,17100,merge_sort,0.405321
sorted,17100,merge_insertion_t15,0.260597
sorted,17200,merge_sort,0.426861
sorted,17200,merge_insertion_t15,0.259378
sorted,17300,merge_sort,0.398205
sorted,17300,merge_insertion_t15,0.269051
sorted,17400,merge_sort,0.419003
sorted,17400,merge_insertion_t15,0.248434
sorted,17500,merge_sort,0.454102
sorted,17500,merge_insertion_t15,0.287462
sorted,17600,merge_sort,0.437355
sorted,17600,merge_insertion_t15,0.283132
sorted,17700,merge_sort,0.434598
sorted,17700,merge_insertion_t15,0.249457
sorted,17800,merge_sort,0.440339
sorted,17800,merge_insertion_t15,0.268276
sorted,17900,merge_sort,0.409093
sorted,17900,merge_insertion_t15,0.28204
sorted,18000,merge_sort,0.462421
sorted,18000,merge_insertion_t15,0.253064
sorted,18100,merge_sort,0.446145
sorted,18100,merge_insertion_t15,0.286401
sorted,18200,merge_sort,0.418001
sorted,18200,merge_insertion_t15,0.285519
sorted,18300,merge_sort,0.436732
sorted,18300,merge_insertion_t15,0.260783
sorted,18400,merge_sort,0.432369
sorted,18400,merge_insertion_t15,0.276194
sorted,18500,merge_sort,0.421901
sorted,18500,merge_insertion_t15,0.273949
sorted,18600,merge_sort,0.463318
sorted,18600,merge_insertion_t15,0.261936
sorted,18700,merge_sort,0.475328
sorted,18700,merge_insertion_t15,0.263741
sorted,18800,merge_sort,0.448576
sorted,18800,merge_insertion_t15,0.279741
sorted,18900,merge_sort,0.442824
sorted,18900,merge_insertion_t15,0.268395
sorted,19000,merge_sort,0.473739
sorted,19000,merge_insertion_t15,0.267973
sorted,19100,merge_sort,0.464115
sorted,19100,merge_insertion_t15,0.303581
sorted,19200,merge_sort,0.439159
sorted,19200,merge_insertion_t15,0.27853
sorted,19300,merge_sort,0.468717
sorted,19300,merge_insertion_t15,0.273746
sorted,19400,merge_sort,0.457187
sorted,19400,merge_insertion_t15,0.292187
sorted,19500,merge_sort,0.448255
sorted,19500,merge_insertion_t15,0.287796
sorted,19600,merge_sort,0.464372
sorted,19600,merge_insertion_t15,0.296845
sorted,19700,merge_sort,0.476228
sorted,19700,merge_insertion_t15,0.273476
sorted,19800,merge_sort,0.466508
sorted,19800,merge_insertion_t15,0.311164
sorted,19900,merge_sort,0.456226
sorted,19900,merge_insertion_t15,0.278928
sorted,20000,merge_sort,0.481891
sorted,20000,merge_insertion_t15,0.278484
sorted,20100,merge_sort,0.490732
sorted,20100,merge_insertion_t15,0.319787
sorted,20200,merge_sort,0.462094
sorted,20200,merge_insertion_t15,0.328937
sorted,20300,merge_sort,0.510832
sorted,20300,merge_insertion_t15,0.285314
sorted,20400,merge_sort,0.525389
sorted,20400,merge_insertion_t15,0.285482
sorted,20500,merge_sort,0.509302
sorted,20500,merge_insertion_t15,0.291899
sorted,20600,merge_sort,0.468773
sorted,20600,merge_insertion_t15,0.364654
sorted,20700,merge_sort,0.475224
sorted,20700,merge_insertion_t15,0.391906
sorted,20800,merge_sort,0.772175
sorted,20800,merge_insertion_t15,0.480806
sorted,20900,merge_sort,0.727339
sorted,20900,merge_insertion_t15,0.479332
sorted,21000,merge_sort,0.594162
sorted,21000,merge_insertion_t15,0.290949
sorted,21100,merge_sort,0.573957
sorted,21100,merge_insertion_t15,0.297797
sorted,21200,merge_sort,0.528723
sorted,21200,merge_insertion_t15,0.316176
sorted,21300,merge_sort,0.48956
sorted,21300,merge_insertion_t15,0.422922
sorted,21400,merge_sort,0.536395
sorted,21400,merge_insertion_t15,0.397883
sorted,21500,merge_sort,0.486423
sorted,21500,merge_insertion_t15,0.333062
sorted,21600,merge_sort,0.54658
sorted,21600,merge_insertion_t15,0.304171
sorted,21700,merge_sort,0.556595
sorted,21700,merge_insertion_t15,0.300372
sorted,21800,merge_sort,0.521095
sorted,21800,merge_insertion_t15,0.34279
sorted,21900,merge_sort,0.525387
sorted,21900,merge_insertion_t15,0.366738
sorted,22000,merge_sort,0.529873
sorted,22000,merge_insertion_t15,0.413347
sorted,22100,merge_sort,0.655061
sorted,22100,merge_insertion_t15,0.419382
sorted,22200,merge_sort,0.663684
sorted,22200,merge_insertion_t15,0.43022
sorted,22300,merge_sort,0.66563
sorted,22300,merge_insertion_t15,0.344866
sorted,22400,merge_sort,0.543302
sorted,22400,merge_insertion_t15,0.310451
sorted,22500,merge_sort,0.565634
sorted,22500,merge_insertion_t15,0.3153
sorted,22600,merge_sort,0.554223
sorted,22600,merge_insertion_t15,0.313136
sorted,22700,merge_sort,0.56194
sorted,22700,merge_insertion_t15,0.38862
sorted,22800,merge_sort,0.681056
sorted,22800,merge_insertion_t15,0.346338
sorted,22900,merge_sort,0.520749
sorted,22900,merge_insertion_t15,0.334834
sorted,23000,merge_sort,0.521878
sorted,23000,merge_insertion_t15,0.321957
sorted,23100,merge_sort,0.542748
sorted,23100,merge_insertion_t15,0.355072
sorted,23200,merge_sort,0.543875
sorted,23200,merge_insertion_t15,0.349331
sorted,23300,merge_sort,0.560759
sorted,23300,merge_insertion_t15,0.326814
sorted,23400,merge_sort,0.534469
sorted,23400,merge_insertion_t15,0.349177
sorted,23500,merge_sort,0.535237
sorted,23500,merge_insertion_t15,0.341071
sorted,23600,merge_sort,0.574998
sorted,23600,merge_insertion_t15,0.331122
sorted,23700,merge_sort,0.577186
sorted,23700,merge_insertion_t15,0.332043
sorted,23800,merge_sort,0.559596
sorted,23800,merge_insertion_t15,0.326725
sorted,23900,merge_sort,0.56523
sorted,23900,merge_insertion_t15,0.33604
sorted,24000,merge_sort,0.581344
sorted,24000,merge_insertion_t15,0.339955
sorted,24100,merge_sort,0.548356
sorted,24100,merge_insertion_t15,0.367946
sorted,24200,merge_sort,0.554107
sorted,24200,merge_insertion_t15,0.413248
sorted,24300,merge_sort,0.637404
sorted,24300,merge_insertion_t15,0.448507
sorted,24400,merge_sort,0.620274
sorted,24400,merge_insertion_t15,0.338156
sorted,24500,merge_sort,0.605139
sorted,24500,merge_insertion_t15,0.339684
sorted,24600,merge_sort,0.580231
sorted,24600,merge_insertion_t15,0.361693
sorted,24700,merge_sort,0.579632
sorted,24700,merge_insertion_t15,0.359776
sorted,24800,merge_sort,0.574216
sorted,24800,merge_insertion_t15,0.392629
sorted,24900,merge_sort,0.581969
sorted,24900,merge_insertion_t15,0.382986
sorted,25000,merge_sort,0.598728
sorted,25000,merge_insertion_t15,0.365925
sorted,25100,merge_sort,0.581475
sorted,25100,merge_insertion_t15,0.352582
sorted,25200,merge_sort,0.599616
sorted,25200,merge_insertion_t15,0.377476
sorted,25300,merge_sort,0.598359
sorted,25300,merge_insertion_t15,0.370024
sorted,25400,merge_sort,0.607145
sorted,25400,merge_insertion_t15,0.360276
sorted,25500,merge_sort,0.621056
sorted,25500,merge_insertion_t15,0.357698
sorted,25600,merge_sort,0.607356
sorted,25600,merge_insertion_t15,0.382805
sorted,25700,merge_sort,0.623474
sorted,25700,merge_insertion_t15,0.383307
sorted,25800,merge_sort,0.617624
sorted,25800,merge_insertion_t15,0.353674
sorted,25900,merge_sort,0.615955
sorted,25900,merge_insertion_t15,0.379725
sorted,26000,merge_sort,0.605412
sorted,26000,merge_insertion_t15,0.40088
sorted,26100,merge_sort,0.604046
sorted,26100,merge_insertion_t15,0.39186
sorted,26200,merge_sort,0.624898
sorted,26200,merge_insertion_t15,0.417384
sorted,26300,merge_sort,0.642585
sorted,26300,merge_insertion_t15,0.385084
sorted,26400,merge_sort,0.644553
sorted,26400,merge_insertion_t15,0.384174
sorted,26500,merge_sort,0.669873
sorted,26500,merge_insertion_t15,0.39266
sorted,26600,merge_sort,0.619281
sorted,26600,merge_insertion_t15,0.410382
sorted,26700,merge_sort,0.633409
sorted,26700,merge_insertion_t15,0.385786
sorted,26800,merge_sort,0.654329
sorted,26800,merge_insertion_t15,0.39379
sorted,26900,merge_sort,0.650834
sorted,26900,merge_insertion_t15,0.394897
sorted,27000,merge_sort,0.655556
sorted,27000,merge_insertion_t15,0.40182
sorted,27100,merge_sort,0.640743
sorted,27100,merge_insertion_t15,0.398157
sorted,27200,merge_sort,0.66993
sorted,27200,merge_insertion_t15,0.41756
sorted,27300,merge_sort,0.643631
sorted,27300,merge_insertion_t15,0.405157
sorted,27400,merge_sort,0.644129
sorted,27400,merge_insertion_t15,0.402231
sorted,27500,merge_sort,0.648046
sorted,27500,merge_insertion_t15,0.447706
sorted,27600,merge_sort,0.650156
sorted,27600,merge_insertion_t15,0.433808
sorted,27700,merge_sort,0.650485
sorted,27700,merge_insertion_t15,0.405811
sorted,27800,merge_sort,0.65629
sorted,27800,merge_insertion_t15,0.406484
sorted,27900,merge_sort,0.682927
sorted,27900,merge_insertion_t15,0.402109
sorted,28000,merge_sort,0.741563
sorted,28000,merge_insertion_t15,0.406267
sorted,28100,merge_sort,0.674722
sorted,28100,merge_insertion_t15,0.390085
sorted,28200,merge_sort,0.663492
sorted,28200,merge_insertion_t15,0.425157
sorted,28300,merge_sort,0.667668
sorted,28300,merge_insertion_t15,0.408757
sorted,28400,merge_sort,0.679561
sorted,28400,merge_insertion_t15,0.388113
sorted,28500,merge_sort,0.67383
sorted,28500,merge_insertion_t15,0.406722
sorted,28600,merge_sort,0.691697
sorted,28600,merge_insertion_t15,0.397139
sorted,28700,merge_sort,0.826161
sorted,28700,merge_insertion_t15,0.719234
sorted,28800,merge_sort,0.758564
sorted,28800,merge_insertion_t15,0.404152
sorted,28900,merge_sort,0.727646
sorted,28900,merge_insertion_t15,0.418975
sorted,29000,merge_sort,0.703288
sorted,29000,merge_insertion_t15,0.428136
sorted,29100,merge_sort,0.706587
sorted,29100,merge_insertion_t15,0.444228
sorted,29200,merge_sort,0.723866
sorted,29200,merge_insertion_t15,0.424606
sorted,29300,merge_sort,0.721815
sorted,29300,merge_insertion_t15,0.43278
sorted,29400,merge_sort,0.716718
sorted,29400,merge_insertion_t15,0.413967
sorted,29500,merge_sort,0.723382
sorted,29500,merge_insertion_t15,0.413679
sorted,29600,merge_sort,0.737289
sorted,29600,merge_insertion_t15,0.406766
sorted,29700,merge_sort,0.736601
sorted,29700,merge_insertion_t15,0.415052
sorted,29800,merge_sort,0.718815
sorted,29800,merge_insertion_t15,0.417512
sorted,29900,merge_sort,0.722721
sorted,29900,merge_insertion_t15,0.435772
sorted,30000,merge_sort,0.741056
sorted,30000,merge_insertion_t15,0.436973
sorted,30100,merge_sort,0.746821
sorted,30100,merge_insertion_t15,0.436725
sorted,30200,merge_sort,0.71631
sorted,30200,merge_insertion_t15,0.434363
sorted,30300,merge_sort,0.746641
sorted,30300,merge_insertion_t15,0.43493
sorted,30400,merge_sort,0.755893
sorted,30400,merge_insertion_t15,0.603407
sorted,30500,merge_sort,1.36733
sorted,30500,merge_insertion_t15,0.499822
sorted,30600,merge_sort,0.746475
sorted,30600,merge_insertion_t15,0.468997
sorted,30700,merge_sort,0.753029
sorted,30700,merge_insertion_t15,0.425878
sorted,30800,merge_sort,0.747738
sorted,30800,merge_insertion_t15,0.425572
sorted,30900,merge_sort,0.782746
sorted,30900,merge_insertion_t15,0.447888
sorted,31000,merge_sort,0.758092
sorted,31000,merge_insertion_t15,0.453272
sorted,31100,merge_sort,0.753471
sorted,31100,merge_insertion_t15,0.473366
sorted,31200,merge_sort,0.806497
sorted,31200,merge_insertion_t15,0.438804
sorted,31300,merge_sort,0.793328
sorted,31300,merge_insertion_t15,0.44273
