dataset,size,algorithm,milliseconds
random,8200,merge_insertion_t15,0.636483
random,8300,merge_sort,0.714299
random,8300,merge_insertion_t15,0.674235
random,8400,merge_sort,0.749663
random,8400,merge_insertion_t15,0.655242
random,8500,merge_sort,0.781095
random,8500,merge_insertion_t15,0.659827
random,8600,merge_sort,0.781516
random,8600,merge_insertion_t15,0.697102
random,8700,merge_sort,0.776827
random,8700,merge_insertion_t15,0.694921
random,8800,merge_sort,0.788479
random,8800,merge_insertion_t15,0.678303
random,8900,merge_sort,0.841075
random,8900,merge_insertion_t15,0.712508
random,9000,merge_sort,0.80102
random,9000,merge_insertion_t15,0.706676
random,9100,merge_sort,0.813212
random,9100,merge_insertion_t15,0.741099
random,9200,merge_sort,0.865349
random,9200,merge_insertion_t15,0.730532
random,9300,merge_sort,0.823658
random,9300,merge_insertion_t15,0.726449
random,9400,merge_sort,0.859718
random,9400,merge_insertion_t15,0.743765
random,9500,merge_sort,0.850408
random,9500,merge_insertion_t15,0.748435
random,9600,merge_sort,0.882719
random,9600,merge_insertion_t15,0.786656
random,9700,merge_sort,0.880323
random,9700,merge_insertion_t15,0.752967
random,9800,merge_sort,0.874521
random,9800,merge_insertion_t15,0.788781
random,9900,merge_sort,0.936903
random,9900,merge_insertion_t15,0.823587
random,10000,merge_sort,0.914647
random,10000,merge_insertion_t15,0.771037
random,10100,merge_sort,0.95693
random,10100,merge_insertion_t15,0.784919
random,10200,merge_sort,0.940849
random,10200,merge_insertion_t15,0.848243
random,10300,merge_sort,0.918753
random,10300,merge_insertion_t15,0.830834
random,10400,merge_sort,0.941358
random,10400,merge_insertion_t15,0.826712
random,10500,merge_sort,1.01239
random,10500,merge_insertion_t15,0.871492
random,10600,merge_sort,0.993297
random,10600,merge_insertion_t15,0.807803
random,10700,merge_sort,0.958463
random,10700,merge_insertion_t15,0.831026
random,10800,merge_sort,0.990635
random,10800,merge_insertion_t15,0.846466
random,10900,merge_sort,1.00335
random,10900,merge_insertion_t15,0.845476
random,11000,merge_sort,1.02899
random,11000,merge_insertion_t15,0.861981
random,11100,merge_sort,1.01443
random,11100,merge_insertion_t15,0.862125
random,11200,merge_sort,1.02426
random,11200,merge_insertion_t15,1.42003
random,11300,merge_sort,1.05094
random,11300,merge_insertion_t15,0.906371
random,11400,merge_sort,1.0924
random,11400,merge_insertion_t15,0.910647
random,11500,merge_sort,1.05426
random,11500,merge_insertion_t15,0.902451
random,11600,merge_sort,1.09433
random,11600,merge_insertion_t15,0.924229
random,11700,merge_sort,1.06414
random,11700,merge_insertion_t15,0.937267
random,11800,merge_sort,1.08849
random,11800,merge_insertion_t15,0.932279
random,11900,merge_sort,1.1102
random,11900,merge_insertion_t15,0.921823
random,12000,merge_sort,1.12562
random,12000,merge_insertion_t15,1.1749
random,12100,merge_sort,1.1
random,12100,merge_insertion_t15,0.953886
random,12200,merge_sort,1.12943
random,12200,merge_insertion_t15,0.958187
random,12300,merge_sort,1.16075
random,12300,merge_insertion_t15,0.988434
random,12400,merge_sort,1.1461
random,12400,merge_insertion_t15,0.960889
random,12500,merge_sort,1.13267
random,12500,merge_insertion_t15,0.995654
random,12600,merge_sort,1.23507
random,12600,merge_insertion_t15,0.994857
random,12700,merge_sort,1.1935
random,12700,merge_insertion_t15,1.02156
random,12800,merge_sort,1.24519
random,12800,merge_insertion_t15,0.999349
random,12900,merge_sort,1.24881
random,12900,merge_insertion_t15,1.02494
random,13000,merge_sort,1.22144
random,13000,merge_insertion_t15,1.0443
random,13100,merge_sort,1.22135
random,13100,merge_insertion_t15,1.02945
random,13200,merge_sort,1.19079
random,13200,merge_insertion_t15,1.05735
random,13300,merge_sort,1.29281
random,13300,merge_insertion_t15,1.047
random,13400,merge_sort,1.27265
random,13400,merge_insertion_t15,1.06299
random,13500,merge_sort,1.25948
random,13500,merge_insertion_t15,1.03635
random,13600,merge_sort,1.2638
random,13600,merge_insertion_t15,1.07408
random,13700,merge_sort,1.27307
random,13700,merge_insertion_t15,1.08578
random,13800,merge_sort,1.26354
random,13800,merge_insertion_t15,1.10544
random,13900,merge_sort,1.31859
random,13900,merge_insertion_t15,1.1075
random,14000,merge_sort,1.30232
random,14000,merge_insertion_t15,1.08082
random,14100,merge_sort,1.30301
random,14100,merge_insertion_t15,1.08784
random,14200,merge_sort,1.30265
random,14200,merge_insertion_t15,1.12459
random,14300,merge_sort,1.34891
random,14300,merge_insertion_t15,1.10475
random,14400,merge_sort,1.32247
random,14400,merge_insertion_t15,1.13141
random,14500,merge_sort,1.31344
random,14500,merge_insertion_t15,1.13647
random,14600,merge_sort,1.34149
random,14600,merge_insertion_t15,1.18931
random,14700,merge_sort,1.45515
